trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
565,False,"{'a': 0.38418007337877025, 'e': 0.5683601467575404}",25,0,13.59833693373067,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
566,False,"{'a': 0.3838960353480766, 'e': 0.5677920706961532}",30,4,-20.166605180586977,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
567,False,"{'a': 0.38361228121344204, 'e': 0.5672245624268841}",25,0,-16.306846418489666,"{0: 20, 1: 4, 2: 0, 3: 1, 4: 0}",0
568,False,"{'a': 0.38332881069111235, 'e': 0.5666576213822246}",30,3,-14.715778083022634,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 0}",1
569,False,"{'a': 0.38304562349761684, 'e': 0.5660912469952337}",20,0,-12.691411611393184,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
570,False,"{'a': 0.3827627193497686, 'e': 0.5655254386995371}",20,9,-1.3189531577879814,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
571,False,"{'a': 0.3824800979646631, 'e': 0.5649601959293262}",25,0,-130.28823100911023,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
572,False,"{'a': 0.38219775905967923, 'e': 0.5643955181193584}",25,9,5.124167541167959,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
573,False,"{'a': 0.38191570235247785, 'e': 0.5638314047049556}",30,6,1.5982106002472163,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
574,False,"{'a': 0.38163392756100234, 'e': 0.5632678551220046}",25,3,-84.96238470688107,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
575,False,"{'a': 0.3813524344034779, 'e': 0.5627048688069557}",30,0,-27.090917865319803,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
576,False,"{'a': 0.3810712225984112, 'e': 0.5621424451968224}",25,0,7.920786626968943,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
577,False,"{'a': 0.3807902918645907, 'e': 0.5615805837291813}",20,12,-7.946521513756094,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
578,False,"{'a': 0.3805096419210853, 'e': 0.5610192838421706}",25,1,-15.831242893947717,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
579,False,"{'a': 0.38022927248724525, 'e': 0.5604585449744904}",20,12,4.954635039587014,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
580,False,"{'a': 0.379949183282701, 'e': 0.559898366565402}",35,0,-109.03719029868526,"{0: 25, 1: 1, 2: 6, 3: 2, 4: 1}",0
581,False,"{'a': 0.37966937402736345, 'e': 0.5593387480547268}",30,0,-52.45406153426013,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
582,False,"{'a': 0.3793898444414232, 'e': 0.5587796888828463}",25,0,-55.477198537181806,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
583,False,"{'a': 0.37911059424535065, 'e': 0.5582211884907012}",35,24,18.990628336569973,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
584,False,"{'a': 0.3788316231598956, 'e': 0.5576632463197913}",25,0,-58.33054101521738,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
585,False,"{'a': 0.378552930906087, 'e': 0.5571058618121739}",25,0,-21.01783243646851,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
586,False,"{'a': 0.3782745172052324, 'e': 0.5565490344104649}",20,0,-52.02389752551755,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
587,False,"{'a': 0.37799638177891837, 'e': 0.5559927635578367}",30,17,15.421765384933792,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
